EntrezID	D_Ctrl_R1	D_TGFb_R1	D_Ctrl_R2	D_TGFb_R2	Hes_Ctrl_R1	Hes_TGFb_R1	Hes_Ctrl_R2	Hes_TGFb_R2	Hil_Ctrl_R1	Hil_Ctrl_R2	Hil_Ctrl_R3	Hil_TGFb_R1	Hil_TGFb_R2	Hil_TGFb_R3	M_Ctrl_R1	M_Ctrl_R2	M_Ctrl_R3	M_TGFb_R1	M_TGFb_R2	M_TGFb_R3	K_Ctrl_R1	K_Ctrl_R2	K_Ctrl_R3	K_TGFb_R1	K_TGFb_R2	K_TGFb_R3	S_A_Ctrl_R1	S_A_Ctrl_R2	S_A_Ctrl_R3	S_A_TGFb_R1	S_A_TGFb_R2	S_A_TGFb_R3
29894	7.768121	7.67796	7.771702	7.643237	6.650548	6.598938	6.44796	6.495294	8.830202	8.944167	8.607671	8.892125	8.578643	8.619692	5.861027	5.886395	5.646941	6.028278	6.06743	5.913885	6.722772	6.215345	6.347277	5.990212	6.098838	6.163988	4.776353	4.811553	4.706572	4.968095	4.505276	4.678429
29895	4.737234	4.666426	4.320575	4.439028	6.642898	6.727628	6.669974	6.803281	5.476503	5.634623	5.629394	5.70561	5.617328	5.529539	6.283326	6.208904	6.286981	6.112595	6.225168	6.380268	6.989997	6.50387	6.578211	6.518672	6.588632	6.449075	5.893777	5.823429	5.920997	5.842996	6.183431	5.887124
29896	6.377016	6.528073	6.163842	6.243866	6.256957	5.975165	6.649597	6.482854	8.462722	8.393882	8.33484	8.930937	8.859328	8.829545	7.288524	7.716273	7.688716	6.76973	6.88423	6.954249	9.950918	9.819338	9.968399	10.58963	10.51486	10.64555	7.345811	7.193968	7.460748	7.930264	7.733206	7.757913
29899	8.171684	7.796288	8.087404	7.677237	7.523778	7.305024	7.620259	7.120099	9.102072	9.296976	9.328365	9.901882	9.972379	9.871919	9.804446	9.865154	9.764876	9.149499	9.123512	9.115906	4.764358	4.474362	4.631493	4.59822	4.57497	4.594449	8.979264	8.975966	9.132849	8.438368	8.59917	8.373967
29901	8.249433	8.064152	8.148146	7.79616	9.583097	9.207037	9.495285	8.919504	9.567506	9.591321	9.632793	9.706317	9.688915	9.830972	9.607409	9.652301	9.791828	9.850456	9.476015	9.656196	9.754215	8.576428	8.970744	8.921321	8.879479	8.925789	10.83429	10.85049	10.91978	10.05535	10.08912	10.05367
29902	6.431438	5.92518	6.17517	5.857189	10.38483	9.176348	10.5272	9.161252	7.917144	8.103418	8.121515	9.170312	8.909256	9.255013	9.376436	9.467382	9.402591	9.956865	9.954261	10.01726	7.510398	6.700345	6.816342	6.358888	6.30386	6.307279	9.860294	9.971726	9.86773	8.886841	8.902144	8.977547
29903	5.082238	4.85198	4.95293	4.7957	4.687597	4.332052	4.479469	4.585581	6.238943	6.103713	6.045825	6.291345	6.159111	6.181897	8.282709	8.090745	8.309919	7.804982	7.478385	7.63512	5.693028	6.02669	5.89153	5.348685	5.368537	5.243736	6.655776	6.713179	6.748568	5.754934	5.774147	5.963936
29906	4.340655	4.285445	4.338733	4.313869	6.743289	6.546659	6.692008	6.680548	5.923975	5.891529	5.889469	6.071383	5.82424	5.903624	4.596911	4.621295	4.445652	4.485863	4.717573	4.599671	5.985602	6.140818	6.133472	6.350537	6.162282	6.254424	6.57117	6.626202	6.523776	6.615464	6.764894	6.673207
29907	5.786894	5.915014	5.747559	5.934025	8.277155	8.483297	8.012452	8.41371	6.257069	6.320266	6.323613	6.184709	6.496136	6.421888	8.965332	8.95585	8.884548	9.033756	8.848058	8.839322	7.344319	7.342006	7.59049	7.389187	7.287537	7.161144	8.746245	8.783282	8.815661	8.276412	8.373401	8.448818
29909	4.248878	4.282388	4.273097	4.304724	3.26903	3.470593	3.804863	3.513332	5.372039	5.797399	5.45188	5.512378	5.42064	5.70993	3.542792	3.454843	3.476955	3.591005	3.499313	3.499313	4.3413	4.321808	4.152321	4.151426	4.385761	4.067498	2.926886	2.933316	2.778425	2.933316	3.135716	2.939244
