EntrezID	S_HCC_Ctrl_R1	S_HCC_Ctrl_R2	S_HCC_Ctrl_R3	S_HCC_TGFb_R1	S_HCC_TGFb_R2	S_HCC_TGFb_R3	S_NCI_Ctrl_R1	S_NCI_Ctrl_R2	S_NCI_Ctrl_R3	S_NCI_TGFb_R1	S_NCI_TGFb_R2	S_NCI_TGFb_R3	T_Ctrl1_R1	T_Ctrl1_R2	T_Ctrl1_R3	T_TGFb_R1	T_TGFb_R2	T_TGFb_R3	T_Ctrl2_R1	T_Ctrl2_R2	T_Ctrl2_R3	W_Ctrl_R1	W_Ctrl_R2	W_Ctrl_R3	W_TGFb_R1	W_TGFb_R2	W_TGFb_R3
91647	8.332459	8.325488	8.320752	7.703264	7.877836	7.678909	7.540311	7.638015	7.629068	7.225181	7.350654	7.323576	7.958105	7.612717	7.548792	7.256104	7.086581	7.062131	7.256104	7.038348	7.256104	4.307011	4.260765	3.840548	4.032967	4.125255	4.196742
91683	6.642596	6.688882	6.781035	5.863834	5.652205	5.567422	7.118669	6.911138	6.765701	6.53497	6.303871	6.555903	5.330994	5.261286	5.230371	5.218585	5.145614	5.137287	5.218835	5.218835	5.057263	3.567231	3.539536	3.3718	3.355306	3.28052	3.105846
91694	8.991496	8.832609	8.879165	8.175108	8.325995	8.195615	4.077186	4.147111	4.03307	4.265075	4.265075	4.281636	4.686202	4.786553	4.802885	4.672522	4.660725	4.469985	5.06916	4.686202	4.775356	3.040489	2.899215	3.083564	3.091543	3.183252	3.071092
91746	10.87559	10.94958	10.90306	11.23442	11.22238	11.29056	5.389567	5.708822	5.660761	5.908675	5.711298	5.808737	11.04422	10.83176	11.07277	11.00289	10.96436	11.01422	11.13752	11.13851	10.97019	7.422145	7.024318	7.634891	7.452254	7.552847	7.258837
91752	2.781074	2.912317	2.920306	2.827958	2.932772	3.091065	3.942947	3.866095	4.030242	4.834043	5.035425	4.84776	4.984515	5.010082	5.230827	5.085937	4.942626	5.295567	4.821426	4.993688	4.831012	2.851004	3.092398	2.205693	2.435887	2.485545	2.40464
91754	9.829906	9.493829	9.471169	10.20176	10.19	10.19326	9.529084	9.529515	9.555403	9.95254	9.966014	9.995949	9.285248	9.112899	9.262477	9.592214	9.618736	9.676155	9.11725	9.061259	9.092506	3.526772	3.379402	3.639895	3.40869	3.697862	3.891172
91775	5.556693	5.729663	5.672108	6.454084	6.381907	6.396252	5.112974	5.075902	5.125057	5.941873	6.027284	6.065317	6.330881	6.678122	6.272059	6.800366	6.940057	6.525361	6.479475	6.959723	6.81693	3.105462	3.110688	3.639711	3.476881	3.737047	4.318457
91782	8.637456	8.565361	8.63367	8.725296	8.806156	8.68956	8.875165	8.806039	8.863272	8.959251	8.856025	8.853924	8.312789	8.363888	8.625848	8.260265	8.260265	8.339678	8.182534	8.133873	8.050369	5.647519	5.585674	5.383635	5.703977	5.378937	5.480167
91807	3.122994	2.873618	2.881925	2.781074	2.917499	2.831538	2.987718	2.84	2.783997	3.064073	2.813238	3.215783	4.928568	4.878338	4.678873	4.936758	4.7498	4.878338	4.819162	4.878338	4.801478	2.484138	2.987494	2.358512	2.358512	2.443772	2.485002
91851	4.042633	4.207523	4.337101	4.252088	4.205784	4.261214	4.475428	4.449186	4.564323	4.440861	4.301942	4.764251	5.596501	5.386351	5.643662	7.790538	7.791592	7.839521	5.818718	5.925225	5.712975	8.863683	8.1674	8.915268	9.080743	8.578536	8.987424
91860	6.149625	6.002472	5.887941	6.391113	6.376255	6.29669	7.135589	7.349289	7.367064	6.315001	6.361713	6.381482	6.485199	6.468962	6.850809	5.812534	5.879489	5.907895	6.54645	6.335438	6.401642	3.851706	3.908242	3.510268	3.816508	3.422635	3.600827
91949	7.872931	7.698759	7.618879	7.671562	7.546515	7.434243	8.005666	8.056749	8.039215	7.915667	7.780516	7.973945	7.302964	7.602231	7.302964	7.283768	7.00346	6.854221	7.321958	7.147746	7.363233	4.216226	3.460839	4.066697	3.829565	3.388474	3.648548
91977	4.143102	4.169767	4.164805	4.418928	4.183332	4.418928	6.867842	6.666516	6.807041	6.827781	6.837282	6.576892	5.877188	5.754136	5.765748	5.752438	5.831314	5.831314	5.766271	5.805868	5.842921	4.262882	4.636761	3.895698	3.927233	4.30664	3.865794
92086	6.379839	6.213814	6.335023	6.443571	6.446739	6.538681	6.22156	6.172791	6.4496	6.074135	6.108777	5.98462	4.916608	5.25445	5.064332	5.12641	5.212395	5.200872	5.182955	5.179654	5.281131	5.517573	5.564556	5.298126	5.383902	5.096726	5.210848
92104	7.163495	7.412115	7.289057	6.182852	6.473163	6.626156	6.504276	6.756489	6.469895	6.901377	6.761205	6.911401	5.366026	5.402813	5.39965	5.134499	5.39965	5.354814	5.585782	5.397383	5.507487	2.326689	2.72673	2.577594	2.382655	2.458571	2.634821
92140	9.076833	8.922777	9.038429	9.581926	9.676705	9.841044	8.334253	8.21252	8.256782	8.573257	8.594241	8.600246	11.53339	11.45986	11.67427	11.48639	11.3715	11.44193	11.9442	12.1462	12.1236	5.55316	4.743803	5.686119	5.700351	5.74867	5.642247
92154	7.120632	6.963141	7.02994	6.26719	6.175799	6.361582	7.590248	7.605744	7.475355	6.757282	6.878671	6.935122	5.348222	5.348222	5.346077	5.449188	5.505003	5.492411	5.006162	5.245627	5.348222	3.506592	3.199727	3.452126	3.17046	3.449634	2.946758
92170	7.650794	7.883965	7.990101	7.865606	8.04289	7.910442	7.305649	7.249664	6.941005	7.445819	7.43624	7.599321	8.241586	8.019971	7.939646	7.990074	7.907028	8.161514	7.862395	7.72155	7.804026	6.275867	6.686618	5.938858	6.09734	6.559853	5.939197
92211	5.511911	5.598183	5.949133	5.716205	5.520783	5.420528	5.204259	5.020405	4.926275	4.945889	5.013651	4.863843	5.858809	5.859134	5.895218	5.79931	5.865919	6.170942	5.83985	5.567877	5.859134	3.034559	2.861188	2.974897	2.860501	3.113971	3.018578
92335	8.174187	8.189832	8.166791	8.005372	8.011989	7.883768	9.153509	9.180218	9.100571	8.934495	8.940149	8.933241	9.050038	8.637959	8.82671	8.868716	8.799498	8.739032	8.604555	8.511585	8.537742	5.396272	5.066009	5.327276	5.581887	5.51687	5.547918
92342	9.185445	9.14133	9.036637	8.255764	8.384779	8.326274	9.214547	9.206767	9.159647	8.978183	8.903729	9.033788	8.587089	8.651953	8.426889	8.329576	8.543396	8.574929	8.253452	8.436654	8.375286	3.737824	4.02976	4.045478	4.253489	3.861717	3.727093
92346	4.820634	5.174891	5.201221	4.635545	4.137241	4.511968	4.751876	4.793618	4.375522	4.502917	4.640009	4.376186	5.339044	5.274275	5.339044	5.540781	5.339044	5.339044	5.359592	5.339044	5.251062	3.678812	3.483924	3.522115	3.386057	3.79792	3.563569
92483	3.184015	3.059488	3.162746	3.079893	3.034215	3.091065	2.752039	2.660132	2.740432	2.742999	2.711312	2.714652	4.513693	4.601564	4.601564	4.625035	4.490306	4.572843	4.691727	4.740846	4.588893	2.365695	2.286824	2.483446	2.265164	2.38067	2.475717
92552	2.6114	2.856706	2.666252	3.053917	2.745965	2.813064	2.908613	3.126214	2.983997	2.867163	3.061799	2.888229	4.449872	4.685698	4.813716	4.539211	4.617283	4.755754	4.653323	4.646193	4.646193	2.284317	2.118872	2.284317	2.334045	2.352834	2.511302
92579	9.391195	9.530354	9.542966	9.656187	9.685766	9.723273	9.866297	9.798066	9.772273	10.2088	10.1795	10.21459	8.146541	8.055553	7.917677	7.879937	7.833944	7.91141	8.222247	8.243055	8.185105	8.109569	8.230941	7.794299	7.905637	8.005668	8.023438
92595	6.828718	6.81274	6.775236	7.19841	7.135585	7.382269	6.194907	6.446982	6.247653	6.354051	6.046136	6.099735	5.482695	5.379869	5.566852	5.545038	5.586553	5.65304	5.475608	5.56434	5.498551	2.917067	2.864254	3.075125	2.877781	3.092511	2.989947
92609	10.21919	10.47567	10.53573	10.2556	10.25792	10.10476	5.992164	5.939729	5.911575	6.359858	6.509907	6.576374	6.054279	5.965466	6.402069	6.164906	6.108673	6.164906	6.14618	6.187755	6.047063	3.709323	3.813955	3.567871	3.47921	3.236366	3.417906
92689	9.266153	9.122128	9.082676	10.53274	10.57807	10.62365	9.51389	9.579071	9.683237	10.30854	10.21356	10.3207	9.551368	9.600838	9.864643	10.31585	10.27546	10.35346	9.565268	9.488247	9.66573	6.705781	6.187887	6.902394	7.073721	6.765334	6.97898
92815	8.944753	9.20464	9.163555	8.251553	8.182432	8.141168	8.819405	8.683128	8.848326	7.875727	7.932239	7.850945	7.167893	7.31975	7.090997	7.764469	7.788044	7.797962	7.31975	7.133933	7.164662	5.075106	5.143691	4.913375	4.54002	4.707615	4.876887
92822	7.159538	7.246956	7.233822	7.516848	7.349283	7.230281	7.467911	7.486557	7.379566	7.305873	7.423717	7.534022	5.718506	5.97416	5.87472	5.974227	5.974227	5.884841	6.304631	6.174524	5.974227	3.713669	3.713669	3.674288	3.622974	3.663668	3.649124
92856	10.69534	10.94945	10.99836	10.39517	10.50747	10.35604	10.3654	10.30516	10.19738	10.21361	10.22401	10.26612	11.07449	11.17322	10.91722	11.05103	10.82447	10.973	10.79656	10.50017	10.70136	7.846493	8.160086	7.293209	7.670397	7.894536	7.397645
