"SampleIds","Gender","Runs","Biology"
"Sample_145","female","Run1","Activated_4hours"
"Sample_146","female","Run1","Activated_4hours"
"Sample_147","female","Run1","Activated_4hours"
"Sample_148","female","Run1","Activated_4hours"
"Sample_133","female","Run1","Activated_4hours"
"Sample_150","female","Run1","Activated_4hours"
"Sample_127","female","Run1","Activated_4hours"
"Sample_152","female","Run1","Activated_4hours"
"Sample_153","female","Run1","Activated_4hours"
"Sample_154","male","Run1","Activated_4hours"
"Sample_155","female","Run1","Activated_4hours"
"Sample_156","female","Run1","Activated_4hours"
"Sample_157","male","Run1","Activated_4hours"
"Sample_158","female","Run1","Activated_4hours"
"Sample_159","male","Run1","Activated_4hours"
"Sample_124","male","Run1","Activated_4hours"
"Sample_161","male","Run1","Activated_4hours"
"Sample_162","male","Run1","Activated_4hours"
"Sample_163","female","Run1","Activated_4hours"
"Sample_164","female","Run1","Activated_4hours"
"Sample_165","male","Run1","Activated_4hours"
"Sample_166","male","Run1","Activated_4hours"
"Sample_167","female","Run1","Activated_4hours"
"Sample_168","female","Run1","Activated_4hours"
"Sample_169","female","Run1","Activated_4hours"
"Sample_170","female","Run1","Activated_4hours"
"Sample_171","male","Run1","Activated_4hours"
"Sample_172","female","Run1","Activated_4hours"
"Sample_173","female","Run1","Activated_4hours"
"Sample_174","female","Run1","Activated_4hours"
"Sample_175","female","Run1","Activated_4hours"
"Sample_176","male","Run1","Activated_4hours"
"Sample_177","female","Run1","Activated_4hours"
"Sample_178","male","Run1","Activated_4hours"
"Sample_179","male","Run1","Activated_4hours"
"Sample_180","male","Run1","Activated_4hours"
"Sample_181","male","Run1","Activated_4hours"
"Sample_182","male","Run1","Activated_4hours"
"Sample_183","female","Run1","Activated_4hours"
"Sample_184","female","Run1","Activated_4hours"
"Sample_185","female","Run1","Activated_4hours"
"Sample_186","female","Run1","Activated_4hours"
"Sample_187","female","Run1","Activated_4hours"
"Sample_188","female","Run1","Activated_4hours"
"Sample_189","male","Run1","Activated_4hours"
"Sample_190","male","Run1","Activated_4hours"
"Sample_191","female","Run1","Activated_4hours"
"Sample_192","male","Run1","Activated_4hours"
"Sample_193","female","Run1","Activated_4hours"
"Sample_194","female","Run1","Activated_4hours"
"Sample_195","male","Run1","Activated_4hours"
"Sample_196","male","Run1","Activated_4hours"
"Sample_197","male","Run1","Activated_4hours"
"Sample_198","female","Run1","Activated_4hours"
